2021-03-26_19-46-48_EXACT_IFTY1_wrn-28-10-drop_HRZ0_RND1_NAS0_Eps20
1: acc=50.48% acc_corr=52.60% avg#q_ae=2.06 med#q=2.0, avg_margin=0.50, buff=19194, (n_ex=9597, eps=20.000, 4.50s)
2: acc=48.50% acc_corr=50.54% avg#q_ae=2.14 med#q=3.0, avg_margin=0.30, buff=19194, (n_ex=9597, eps=20.000, 8.73s)
3: acc=47.63% acc_corr=49.63% avg#q_ae=2.19 med#q=4.0, avg_margin=0.21, buff=19194, (n_ex=9597, eps=20.000, 12.58s)
4: acc=45.61% acc_corr=47.53% avg#q_ae=2.34 med#q=4.0, avg_margin=-0.01, buff=19194, (n_ex=9597, eps=20.000, 16.64s)
5: acc=43.98% acc_corr=45.83% avg#q_ae=2.49 med#q=4.0, avg_margin=-0.19, buff=19194, (n_ex=9597, eps=20.000, 20.34s)
6: acc=42.47% acc_corr=44.25% avg#q_ae=2.65 med#q=4.0, avg_margin=-0.33, buff=19194, (n_ex=9597, eps=20.000, 23.86s)
7: acc=38.15% acc_corr=39.75% avg#q_ae=3.12 med#q=4.0, avg_margin=-0.77, buff=19194, (n_ex=9597, eps=20.000, 28.04s)
8: acc=36.10% acc_corr=37.62% avg#q_ae=3.36 med#q=4.0, avg_margin=-0.92, buff=19194, (n_ex=9597, eps=20.000, 31.29s)
9: acc=34.71% acc_corr=36.17% avg#q_ae=3.53 med#q=4.0, avg_margin=-1.04, buff=19194, (n_ex=9597, eps=20.000, 34.25s)
10: acc=33.21% acc_corr=34.60% avg#q_ae=3.73 med#q=4.0, avg_margin=-1.15, buff=19194, (n_ex=9597, eps=20.000, 37.12s)
11: acc=32.19% acc_corr=33.54% avg#q_ae=3.88 med#q=4.0, avg_margin=-1.24, buff=19194, (n_ex=9597, eps=20.000, 39.81s)
12: acc=30.32% acc_corr=31.59% avg#q_ae=4.17 med#q=4.0, avg_margin=-1.37, buff=19194, (n_ex=9597, eps=20.000, 42.57s)
