

All hps: 2021-03-10 10:30:51 model=wrn-28-10-drop dataset=cifar10 attack=square_linf n_ex=10000 eps=12.0 p=0.05 n_iter=10000
Clean accuracy: 95.97%
2021-03-10_10-31-12_EXACT_IFTY1_wrn-28-10-drop_HRZ0_RND1__Eps12
1: acc=76.19% acc_corr=79.39% avg#q_ae=2.08 med#q=2.0, avg_margin=4.94, buff=19194, (n_ex=9597, eps=12.000, 7.05s)
2: acc=75.32% acc_corr=78.48% avg#q_ae=2.16 med#q=3.0, avg_margin=4.78, buff=19194, (n_ex=9597, eps=12.000, 13.75s)
3: acc=74.77% acc_corr=77.91% avg#q_ae=2.23 med#q=4.0, avg_margin=4.69, buff=19194, (n_ex=9597, eps=12.000, 19.97s)
4: acc=73.75% acc_corr=76.85% avg#q_ae=2.41 med#q=5.0, avg_margin=4.52, buff=19194, (n_ex=9597, eps=12.000, 26.32s)
5: acc=72.61% acc_corr=75.66% avg#q_ae=2.63 med#q=6.0, avg_margin=4.37, buff=19194, (n_ex=9597, eps=12.000, 32.35s)
6: acc=71.37% acc_corr=74.37% avg#q_ae=2.90 med#q=7.0, avg_margin=4.22, buff=19194, (n_ex=9597, eps=12.000, 37.99s)
7: acc=68.90% acc_corr=71.79% avg#q_ae=3.46 med#q=8.0, avg_margin=3.90, buff=19194, (n_ex=9597, eps=12.000, 43.41s)
8: acc=67.82% acc_corr=70.67% avg#q_ae=3.71 med#q=9.0, avg_margin=3.76, buff=19194, (n_ex=9597, eps=12.000, 48.76s)
9: acc=66.92% acc_corr=69.73% avg#q_ae=3.93 med#q=10.0, avg_margin=3.64, buff=19194, (n_ex=9597, eps=12.000, 54.57s)
10: acc=66.00% acc_corr=68.77% avg#q_ae=4.18 med#q=11.0, avg_margin=3.53, buff=19194, (n_ex=9597, eps=12.000, 60.94s)
11: acc=65.14% acc_corr=67.88% avg#q_ae=4.43 med#q=12.0, avg_margin=3.43, buff=19194, (n_ex=9597, eps=12.000, 66.68s)
12: acc=63.71% acc_corr=66.39% avg#q_ae=4.85 med#q=13.0, avg_margin=3.27, buff=19194, (n_ex=9597, eps=12.000, 71.77s)
13: acc=63.51% acc_corr=66.18% avg#q_ae=4.91 med#q=14.0, avg_margin=3.23, buff=19194, (n_ex=9597, eps=12.000, 76.34s)
14: acc=62.98% acc_corr=65.62% avg#q_ae=5.09 med#q=15.0, avg_margin=3.17, buff=19194, (n_ex=9597, eps=12.000, 80.71s)
15: acc=62.37% acc_corr=64.99% avg#q_ae=5.31 med#q=16.0, avg_margin=3.11, buff=19194, (n_ex=9597, eps=12.000, 85.03s)
16: acc=61.66% acc_corr=64.25% avg#q_ae=5.57 med#q=17.0, avg_margin=3.03, buff=19194, (n_ex=9597, eps=12.000, 89.38s)
17: acc=61.00% acc_corr=63.56% avg#q_ae=5.82 med#q=18.0, avg_margin=2.96, buff=19194, (n_ex=9597, eps=12.000, 93.73s)
18: acc=60.09% acc_corr=62.61% avg#q_ae=6.18 med#q=19.0, avg_margin=2.88, buff=19194, (n_ex=9597, eps=12.000, 98.06s)
19: acc=59.12% acc_corr=61.60% avg#q_ae=6.57 med#q=20.0, avg_margin=2.77, buff=19194, (n_ex=9597, eps=12.000, 102.26s)
20: acc=58.52% acc_corr=60.98% avg#q_ae=6.82 med#q=21.0, avg_margin=2.71, buff=19194, (n_ex=9597, eps=12.000, 106.51s)
21: acc=57.61% acc_corr=60.03% avg#q_ae=7.20 med#q=22.0, avg_margin=2.61, buff=19194, (n_ex=9597, eps=12.000, 110.62s)
22: acc=56.87% acc_corr=59.26% avg#q_ae=7.52 med#q=23.0, avg_margin=2.54, buff=19194, (n_ex=9597, eps=12.000, 114.59s)
23: acc=56.34% acc_corr=58.71% avg#q_ae=7.76 med#q=24.0, avg_margin=2.48, buff=19194, (n_ex=9597, eps=12.000, 118.48s)
24: acc=55.74% acc_corr=58.08% avg#q_ae=8.03 med#q=25.0, avg_margin=2.43, buff=19194, (n_ex=9597, eps=12.000, 122.44s)
25: acc=55.32% acc_corr=57.64% avg#q_ae=8.22 med#q=26.0, avg_margin=2.39, buff=19194, (n_ex=9597, eps=12.000, 126.41s)
26: acc=54.50% acc_corr=56.79% avg#q_ae=8.62 med#q=27.0, avg_margin=2.31, buff=19194, (n_ex=9597, eps=12.000, 130.39s)
27: acc=54.08% acc_corr=56.35% avg#q_ae=8.82 med#q=28.0, avg_margin=2.28, buff=19194, (n_ex=9597, eps=12.000, 134.14s)
28: acc=52.94% acc_corr=55.16% avg#q_ae=9.38 med#q=29.0, avg_margin=2.18, buff=19194, (n_ex=9597, eps=12.000, 137.92s)
29: acc=52.48% acc_corr=54.68% avg#q_ae=9.61 med#q=30.0, avg_margin=2.13, buff=19194, (n_ex=9597, eps=12.000, 141.59s)
30: acc=51.79% acc_corr=53.96% avg#q_ae=9.96 med#q=31.0, avg_margin=2.08, buff=19194, (n_ex=9597, eps=12.000, 145.31s)
31: acc=51.36% acc_corr=53.52% avg#q_ae=10.18 med#q=32.0, avg_margin=2.04, buff=19194, (n_ex=9597, eps=12.000, 149.00s)
32: acc=50.70% acc_corr=52.83% avg#q_ae=10.53 med#q=33.0, avg_margin=1.99, buff=19194, (n_ex=9597, eps=12.000, 152.55s)
33: acc=50.24% acc_corr=52.35% avg#q_ae=10.77 med#q=34.0, avg_margin=1.95, buff=19194, (n_ex=9597, eps=12.000, 156.11s)
34: acc=49.36% acc_corr=51.43% avg#q_ae=11.25 med#q=35.0, avg_margin=1.87, buff=19194, (n_ex=9597, eps=12.000, 159.69s)
35: acc=48.69% acc_corr=50.73% avg#q_ae=11.62 med#q=36.0, avg_margin=1.82, buff=19194, (n_ex=9597, eps=12.000, 163.23s)
36: acc=47.80% acc_corr=49.81% avg#q_ae=12.10 med#q=37.0, avg_margin=1.75, buff=19194, (n_ex=9597, eps=12.000, 166.63s)
37: acc=47.50% acc_corr=49.49% avg#q_ae=12.27 med#q=37.0, avg_margin=1.73, buff=19194, (n_ex=9597, eps=12.000, 169.96s)
38: acc=47.29% acc_corr=49.28% avg#q_ae=12.39 med#q=37.0, avg_margin=1.69, buff=19194, (n_ex=9597, eps=12.000, 173.31s)
39: acc=46.98% acc_corr=48.95% avg#q_ae=12.57 med#q=37.0, avg_margin=1.67, buff=19194, (n_ex=9597, eps=12.000, 176.63s)
40: acc=46.62% acc_corr=48.58% avg#q_ae=12.79 med#q=37.0, avg_margin=1.64, buff=19194, (n_ex=9597, eps=12.000, 179.95s)
41: acc=46.24% acc_corr=48.18% avg#q_ae=13.02 med#q=37.0, avg_margin=1.61, buff=19194, (n_ex=9597, eps=12.000, 183.15s)
42: acc=45.60% acc_corr=47.51% avg#q_ae=13.41 med#q=37.0, avg_margin=1.55, buff=19194, (n_ex=9597, eps=12.000, 186.43s)
43: acc=45.37% acc_corr=47.28% avg#q_ae=13.55 med#q=37.0, avg_margin=1.53, buff=19194, (n_ex=9597, eps=12.000, 189.57s)
44: acc=44.76% acc_corr=46.64% avg#q_ae=13.94 med#q=37.0, avg_margin=1.48, buff=19194, (n_ex=9597, eps=12.000, 192.74s)
45: acc=44.45% acc_corr=46.32% avg#q_ae=14.14 med#q=37.0, avg_margin=1.46, buff=19194, (n_ex=9597, eps=12.000, 195.85s)
46: acc=43.74% acc_corr=45.58% avg#q_ae=14.60 med#q=37.0, avg_margin=1.39, buff=19194, (n_ex=9597, eps=12.000, 198.99s)
47: acc=43.23% acc_corr=45.05% avg#q_ae=14.93 med#q=37.0, avg_margin=1.35, buff=19194, (n_ex=9597, eps=12.000, 202.02s)
48: acc=42.79% acc_corr=44.59% avg#q_ae=15.22 med#q=37.0, avg_margin=1.32, buff=19194, (n_ex=9597, eps=12.000, 205.01s)
49: acc=42.44% acc_corr=44.22% avg#q_ae=15.46 med#q=37.0, avg_margin=1.29, buff=19194, (n_ex=9597, eps=12.000, 207.99s)
50: acc=42.11% acc_corr=43.88% avg#q_ae=15.68 med#q=37.0, avg_margin=1.26, buff=19194, (n_ex=9597, eps=12.000, 210.95s)
51: acc=41.84% acc_corr=43.60% avg#q_ae=15.87 med#q=37.0, avg_margin=1.24, buff=19194, (n_ex=9597, eps=12.000, 213.86s)
52: acc=41.65% acc_corr=43.40% avg#q_ae=16.00 med#q=37.0, avg_margin=1.22, buff=19194, (n_ex=9597, eps=12.000, 216.71s)
53: acc=41.52% acc_corr=43.26% avg#q_ae=16.09 med#q=37.0, avg_margin=1.21, buff=19194, (n_ex=9597, eps=12.000, 219.61s)
54: acc=40.93% acc_corr=42.65% avg#q_ae=16.52 med#q=37.0, avg_margin=1.16, buff=19194, (n_ex=9597, eps=12.000, 222.54s)
55: acc=40.77% acc_corr=42.48% avg#q_ae=16.64 med#q=37.0, avg_margin=1.14, buff=19194, (n_ex=9597, eps=12.000, 225.39s)
56: acc=40.53% acc_corr=42.23% avg#q_ae=16.82 med#q=37.0, avg_margin=1.12, buff=19194, (n_ex=9597, eps=12.000, 228.17s)
57: acc=39.79% acc_corr=41.46% avg#q_ae=17.37 med#q=37.0, avg_margin=1.08, buff=19194, (n_ex=9597, eps=12.000, 231.02s)
58: acc=39.26% acc_corr=40.91% avg#q_ae=17.77 med#q=37.0, avg_margin=1.03, buff=19194, (n_ex=9597, eps=12.000, 233.79s)
59: acc=38.94% acc_corr=40.58% avg#q_ae=18.01 med#q=37.0, avg_margin=1.01, buff=19194, (n_ex=9597, eps=12.000, 236.53s)
60: acc=38.68% acc_corr=40.30% avg#q_ae=18.21 med#q=37.0, avg_margin=0.98, buff=19194, (n_ex=9597, eps=12.000, 239.21s)
61: acc=38.39% acc_corr=40.00% avg#q_ae=18.44 med#q=37.0, avg_margin=0.96, buff=19194, (n_ex=9597, eps=12.000, 241.85s)
62: acc=37.86% acc_corr=39.45% avg#q_ae=18.85 med#q=37.0, avg_margin=0.92, buff=19194, (n_ex=9597, eps=12.000, 244.50s)
63: acc=37.66% acc_corr=39.24% avg#q_ae=19.01 med#q=37.0, avg_margin=0.90, buff=19194, (n_ex=9597, eps=12.000, 247.10s)
64: acc=37.28% acc_corr=38.85% avg#q_ae=19.32 med#q=37.0, avg_margin=0.88, buff=19194, (n_ex=9597, eps=12.000, 249.73s)
65: acc=36.96% acc_corr=38.51% avg#q_ae=19.58 med#q=37.0, avg_margin=0.86, buff=19194, (n_ex=9597, eps=12.000, 252.30s)
66: acc=36.76% acc_corr=38.30% avg#q_ae=19.74 med#q=37.0, avg_margin=0.85, buff=19194, (n_ex=9597, eps=12.000, 254.83s)
67: acc=36.40% acc_corr=37.93% avg#q_ae=20.04 med#q=37.0, avg_margin=0.82, buff=19194, (n_ex=9597, eps=12.000, 257.66s)
68: acc=35.99% acc_corr=37.50% avg#q_ae=20.38 med#q=37.0, avg_margin=0.80, buff=19194, (n_ex=9597, eps=12.000, 260.26s)
69: acc=35.42% acc_corr=36.91% avg#q_ae=20.85 med#q=37.0, avg_margin=0.75, buff=19194, (n_ex=9597, eps=12.000, 262.73s)
70: acc=34.99% acc_corr=36.46% avg#q_ae=21.22 med#q=37.0, avg_margin=0.72, buff=19194, (n_ex=9597, eps=12.000, 265.19s)
71: acc=34.59% acc_corr=36.04% avg#q_ae=21.55 med#q=37.0, avg_margin=0.69, buff=19194, (n_ex=9597, eps=12.000, 267.61s)
72: acc=34.33% acc_corr=35.77% avg#q_ae=21.77 med#q=37.0, avg_margin=0.67, buff=19194, (n_ex=9597, eps=12.000, 270.01s)
73: acc=33.87% acc_corr=35.29% avg#q_ae=22.17 med#q=37.0, avg_margin=0.63, buff=19194, (n_ex=9597, eps=12.000, 272.40s)
74: acc=33.66% acc_corr=35.07% avg#q_ae=22.35 med#q=37.0, avg_margin=0.62, buff=19194, (n_ex=9597, eps=12.000, 274.75s)
75: acc=33.16% acc_corr=34.55% avg#q_ae=22.78 med#q=37.0, avg_margin=0.59, buff=19194, (n_ex=9597, eps=12.000, 277.10s)
76: acc=32.96% acc_corr=34.34% avg#q_ae=22.96 med#q=37.0, avg_margin=0.57, buff=19194, (n_ex=9597, eps=12.000, 279.39s)
77: acc=32.57% acc_corr=33.94% avg#q_ae=23.30 med#q=37.0, avg_margin=0.54, buff=19194, (n_ex=9597, eps=12.000, 281.72s)
78: acc=32.32% acc_corr=33.68% avg#q_ae=23.53 med#q=37.0, avg_margin=0.53, buff=19194, (n_ex=9597, eps=12.000, 283.98s)
79: acc=32.25% acc_corr=33.60% avg#q_ae=23.59 med#q=37.0, avg_margin=0.52, buff=19194, (n_ex=9597, eps=12.000, 286.29s)
80: acc=32.11% acc_corr=33.46% avg#q_ae=23.72 med#q=37.0, avg_margin=0.51, buff=19194, (n_ex=9597, eps=12.000, 288.53s)
81: acc=31.86% acc_corr=33.20% avg#q_ae=23.95 med#q=37.0, avg_margin=0.49, buff=19194, (n_ex=9597, eps=12.000, 290.77s)
82: acc=31.47% acc_corr=32.79% avg#q_ae=24.31 med#q=37.0, avg_margin=0.47, buff=19194, (n_ex=9597, eps=12.000, 293.01s)
83: acc=31.14% acc_corr=32.45% avg#q_ae=24.62 med#q=37.0, avg_margin=0.44, buff=19194, (n_ex=9597, eps=12.000, 295.47s)
84: acc=30.70% acc_corr=31.99% avg#q_ae=25.04 med#q=37.0, avg_margin=0.41, buff=19194, (n_ex=9597, eps=12.000, 297.69s)
85: acc=30.30% acc_corr=31.57% avg#q_ae=25.41 med#q=37.0, avg_margin=0.39, buff=19194, (n_ex=9597, eps=12.000, 299.97s)
86: acc=29.88% acc_corr=31.13% avg#q_ae=25.81 med#q=37.0, avg_margin=0.36, buff=19194, (n_ex=9597, eps=12.000, 302.15s)
87: acc=29.61% acc_corr=30.85% avg#q_ae=26.07 med#q=37.0, avg_margin=0.33, buff=19194, (n_ex=9597, eps=12.000, 304.28s)
88: acc=29.45% acc_corr=30.69% avg#q_ae=26.22 med#q=37.0, avg_margin=0.32, buff=19194, (n_ex=9597, eps=12.000, 306.32s)
89: acc=29.38% acc_corr=30.61% avg#q_ae=26.29 med#q=37.0, avg_margin=0.31, buff=19194, (n_ex=9597, eps=12.000, 308.38s)
90: acc=29.23% acc_corr=30.46% avg#q_ae=26.44 med#q=37.0, avg_margin=0.30, buff=19194, (n_ex=9597, eps=12.000, 310.44s)
91: acc=29.10% acc_corr=30.32% avg#q_ae=26.57 med#q=37.0, avg_margin=0.29, buff=19194, (n_ex=9597, eps=12.000, 312.54s)
92: acc=28.96% acc_corr=30.18% avg#q_ae=26.71 med#q=37.0, avg_margin=0.28, buff=19194, (n_ex=9597, eps=12.000, 314.58s)
93: acc=28.62% acc_corr=29.82% avg#q_ae=27.05 med#q=37.0, avg_margin=0.25, buff=19194, (n_ex=9597, eps=12.000, 316.63s)
94: acc=28.37% acc_corr=29.56% avg#q_ae=27.31 med#q=37.0, avg_margin=0.24, buff=19194, (n_ex=9597, eps=12.000, 318.60s)
95: acc=28.01% acc_corr=29.19% avg#q_ae=27.68 med#q=37.0, avg_margin=0.21, buff=19194, (n_ex=9597, eps=12.000, 320.61s)
96: acc=27.74% acc_corr=28.90% avg#q_ae=27.95 med#q=37.0, avg_margin=0.19, buff=19194, (n_ex=9597, eps=12.000, 322.56s)
97: acc=27.50% acc_corr=28.65% avg#q_ae=28.20 med#q=37.0, avg_margin=0.18, buff=19194, (n_ex=9597, eps=12.000, 324.51s)
98: acc=27.37% acc_corr=28.52% avg#q_ae=28.34 med#q=37.0, avg_margin=0.16, buff=19194, (n_ex=9597, eps=12.000, 326.40s)
99: acc=27.23% acc_corr=28.37% avg#q_ae=28.49 med#q=37.0, avg_margin=0.15, buff=19194, (n_ex=9597, eps=12.000, 328.34s)
100: acc=27.00% acc_corr=28.13% avg#q_ae=28.73 med#q=37.0, avg_margin=0.14, buff=19194, (n_ex=9597, eps=12.000, 330.23s)
101: acc=26.79% acc_corr=27.91% avg#q_ae=28.96 med#q=37.0, avg_margin=0.13, buff=19194, (n_ex=9597, eps=12.000, 332.11s)
102: acc=26.67% acc_corr=27.79% avg#q_ae=29.09 med#q=37.0, avg_margin=0.12, buff=19194, (n_ex=9597, eps=12.000, 333.96s)
103: acc=26.49% acc_corr=27.60% avg#q_ae=29.28 med#q=37.0, avg_margin=0.10, buff=19194, (n_ex=9597, eps=12.000, 335.84s)
104: acc=26.36% acc_corr=27.47% avg#q_ae=29.43 med#q=37.0, avg_margin=0.10, buff=19194, (n_ex=9597, eps=12.000, 337.72s)
105: acc=26.10% acc_corr=27.20% avg#q_ae=29.72 med#q=37.0, avg_margin=0.07, buff=19194, (n_ex=9597, eps=12.000, 339.55s)
106: acc=25.99% acc_corr=27.08% avg#q_ae=29.84 med#q=37.0, avg_margin=0.06, buff=19194, (n_ex=9597, eps=12.000, 341.37s)
