

All hps: 2021-03-10 16:21:33 model=wrn-28-10-drop dataset=cifar10 attack=square_l2 n_ex=10000 eps=765.0 p=0.05 n_iter=10000
Clean accuracy: 95.97%
Initial square side=6 for bumps
2021-03-10_16-21-56_EXACT_IFTY0_wrn-28-10-drop_HRZ0_RND1__Eps765
1: acc=78.89% acc_corr=82.20% avg#q_ae=2.16 med#q=2.0, avg_margin=5.51, buff=19194, (n_ex=9597, eps=765.000, 10.67s)
2: acc=75.58% acc_corr=78.75% avg#q_ae=2.45 med#q=3.0, avg_margin=5.00, buff=19194, (n_ex=9597, eps=765.000, 21.22s)
3: acc=73.57% acc_corr=76.66% avg#q_ae=2.68 med#q=4.0, avg_margin=4.70, buff=19194, (n_ex=9597, eps=765.000, 32.73s)
4: acc=71.96% acc_corr=74.98% avg#q_ae=2.91 med#q=5.0, avg_margin=4.47, buff=19194, (n_ex=9597, eps=765.000, 45.25s)
5: acc=69.62% acc_corr=72.54% avg#q_ae=3.27 med#q=6.0, avg_margin=4.20, buff=19194, (n_ex=9597, eps=765.000, 58.53s)
6: acc=67.88% acc_corr=70.73% avg#q_ae=3.56 med#q=7.0, avg_margin=3.98, buff=19194, (n_ex=9597, eps=765.000, 71.68s)
7: acc=64.94% acc_corr=67.67% avg#q_ae=4.08 med#q=8.0, avg_margin=3.63, buff=19194, (n_ex=9597, eps=765.000, 84.70s)
8: acc=63.45% acc_corr=66.11% avg#q_ae=4.35 med#q=9.0, avg_margin=3.48, buff=19194, (n_ex=9597, eps=765.000, 97.16s)
9: acc=61.43% acc_corr=64.01% avg#q_ae=4.74 med#q=10.0, avg_margin=3.27, buff=19194, (n_ex=9597, eps=765.000, 109.12s)
10: acc=59.88% acc_corr=62.39% avg#q_ae=5.05 med#q=11.0, avg_margin=3.11, buff=19194, (n_ex=9597, eps=765.000, 121.07s)
11: acc=59.18% acc_corr=61.67% avg#q_ae=5.20 med#q=12.0, avg_margin=3.03, buff=19194, (n_ex=9597, eps=765.000, 131.70s)
12: acc=58.15% acc_corr=60.59% avg#q_ae=5.44 med#q=13.0, avg_margin=2.91, buff=19194, (n_ex=9597, eps=765.000, 142.49s)
13: acc=57.21% acc_corr=59.61% avg#q_ae=5.67 med#q=14.0, avg_margin=2.83, buff=19194, (n_ex=9597, eps=765.000, 153.09s)
