

All hps: 2021-03-09 23:29:41 model=wrn-28-10-drop dataset=cifar10 attack=square_l2 n_ex=10000 eps=1275.0 p=0.05 n_iter=10000
Clean accuracy: 95.97%
Initial square side=6 for bumps
2021-03-09_23-30-02_EXACT_IFTY0_wrn-28-10-drop_HRZ0_RND1__Eps1275
1: acc=52.73% acc_corr=54.94% avg#q_ae=2.10 med#q=2.0, avg_margin=1.32, buff=19194, (n_ex=9597, eps=1275.000, 4.83s)
2: acc=49.07% acc_corr=51.13% avg#q_ae=2.25 med#q=3.0, avg_margin=0.94, buff=19194, (n_ex=9597, eps=1275.000, 9.06s)
3: acc=46.62% acc_corr=48.58% avg#q_ae=2.39 med#q=4.0, avg_margin=0.68, buff=19194, (n_ex=9597, eps=1275.000, 12.79s)
4: acc=44.41% acc_corr=46.27% avg#q_ae=2.54 med#q=4.0, avg_margin=0.47, buff=19194, (n_ex=9597, eps=1275.000, 16.26s)
5: acc=39.98% acc_corr=41.66% avg#q_ae=2.89 med#q=4.0, avg_margin=0.04, buff=19194, (n_ex=9597, eps=1275.000, 19.63s)
6: acc=36.64% acc_corr=38.18% avg#q_ae=3.18 med#q=4.0, avg_margin=-0.23, buff=19194, (n_ex=9597, eps=1275.000, 22.62s)
7: acc=34.52% acc_corr=35.97% avg#q_ae=3.38 med#q=4.0, avg_margin=-0.43, buff=19194, (n_ex=9597, eps=1275.000, 25.30s)
8: acc=33.18% acc_corr=34.57% avg#q_ae=3.52 med#q=4.0, avg_margin=-0.53, buff=19194, (n_ex=9597, eps=1275.000, 27.85s)
9: acc=31.33% acc_corr=32.65% avg#q_ae=3.74 med#q=4.0, avg_margin=-0.69, buff=19194, (n_ex=9597, eps=1275.000, 30.31s)
10: acc=28.88% acc_corr=30.09% avg#q_ae=4.04 med#q=4.0, avg_margin=-0.87, buff=19194, (n_ex=9597, eps=1275.000, 32.62s)
11: acc=27.34% acc_corr=28.49% avg#q_ae=4.24 med#q=4.0, avg_margin=-1.00, buff=19194, (n_ex=9597, eps=1275.000, 34.73s)
12: acc=25.85% acc_corr=26.94% avg#q_ae=4.45 med#q=4.0, avg_margin=-1.09, buff=19194, (n_ex=9597, eps=1275.000, 36.73s)
13: acc=24.57% acc_corr=25.60% avg#q_ae=4.64 med#q=4.0, avg_margin=-1.17, buff=19194, (n_ex=9597, eps=1275.000, 38.64s)
14: acc=23.76% acc_corr=24.76% avg#q_ae=4.76 med#q=4.0, avg_margin=-1.23, buff=19194, (n_ex=9597, eps=1275.000, 40.42s)
15: acc=22.58% acc_corr=23.53% avg#q_ae=4.96 med#q=4.0, avg_margin=-1.31, buff=19194, (n_ex=9597, eps=1275.000, 42.16s)
16: acc=21.67% acc_corr=22.58% avg#q_ae=5.12 med#q=4.0, avg_margin=-1.36, buff=19194, (n_ex=9597, eps=1275.000, 43.79s)
17: acc=20.88% acc_corr=21.76% avg#q_ae=5.27 med#q=4.0, avg_margin=-1.41, buff=19194, (n_ex=9597, eps=1275.000, 45.38s)
18: acc=20.11% acc_corr=20.95% avg#q_ae=5.42 med#q=4.0, avg_margin=-1.46, buff=19194, (n_ex=9597, eps=1275.000, 46.88s)
19: acc=18.80% acc_corr=19.59% avg#q_ae=5.68 med#q=4.0, avg_margin=-1.54, buff=19194, (n_ex=9597, eps=1275.000, 48.37s)
