2021-03-26_19-47-12_EXACT_IFTY0_wrn-28-10-drop_HRZ0_RND1_NAS0_Eps2
1: acc=88.08% acc_corr=91.78% avg#q_ae=2.19 med#q=2.0, avg_margin=7.23, buff=19194, (n_ex=9597, eps=2.000, 7.38s)
2: acc=86.91% acc_corr=90.56% avg#q_ae=2.42 med#q=3.0, avg_margin=6.95, buff=19194, (n_ex=9597, eps=2.000, 14.59s)
3: acc=85.93% acc_corr=89.54% avg#q_ae=2.67 med#q=4.0, avg_margin=6.79, buff=19194, (n_ex=9597, eps=2.000, 21.67s)
4: acc=84.38% acc_corr=87.92% avg#q_ae=3.12 med#q=5.0, avg_margin=6.50, buff=19194, (n_ex=9597, eps=2.000, 28.80s)
5: acc=83.44% acc_corr=86.94% avg#q_ae=3.41 med#q=6.0, avg_margin=6.34, buff=19194, (n_ex=9597, eps=2.000, 35.77s)
6: acc=82.64% acc_corr=86.11% avg#q_ae=3.68 med#q=7.0, avg_margin=6.20, buff=19194, (n_ex=9597, eps=2.000, 42.77s)
7: acc=81.18% acc_corr=84.59% avg#q_ae=4.21 med#q=8.0, avg_margin=5.96, buff=19194, (n_ex=9597, eps=2.000, 49.83s)
8: acc=79.96% acc_corr=83.32% avg#q_ae=4.65 med#q=9.0, avg_margin=5.78, buff=19194, (n_ex=9597, eps=2.000, 56.57s)
9: acc=78.69% acc_corr=81.99% avg#q_ae=5.12 med#q=10.0, avg_margin=5.58, buff=19194, (n_ex=9597, eps=2.000, 63.21s)
10: acc=76.74% acc_corr=79.96% avg#q_ae=5.82 med#q=11.0, avg_margin=5.31, buff=19194, (n_ex=9597, eps=2.000, 69.87s)
11: acc=75.85% acc_corr=79.04% avg#q_ae=6.13 med#q=12.0, avg_margin=5.19, buff=19194, (n_ex=9597, eps=2.000, 76.21s)
12: acc=74.90% acc_corr=78.05% avg#q_ae=6.49 med#q=13.0, avg_margin=5.08, buff=19194, (n_ex=9597, eps=2.000, 82.38s)
13: acc=73.78% acc_corr=76.88% avg#q_ae=6.92 med#q=14.0, avg_margin=4.95, buff=19194, (n_ex=9597, eps=2.000, 88.57s)
14: acc=72.80% acc_corr=75.86% avg#q_ae=7.30 med#q=15.0, avg_margin=4.82, buff=19194, (n_ex=9597, eps=2.000, 94.59s)
15: acc=71.97% acc_corr=74.99% avg#q_ae=7.64 med#q=16.0, avg_margin=4.71, buff=19194, (n_ex=9597, eps=2.000, 100.62s)
16: acc=71.45% acc_corr=74.45% avg#q_ae=7.86 med#q=17.0, avg_margin=4.64, buff=19194, (n_ex=9597, eps=2.000, 106.39s)
17: acc=70.17% acc_corr=73.12% avg#q_ae=8.41 med#q=18.0, avg_margin=4.49, buff=19194, (n_ex=9597, eps=2.000, 112.30s)
18: acc=69.62% acc_corr=72.54% avg#q_ae=8.65 med#q=19.0, avg_margin=4.43, buff=19194, (n_ex=9597, eps=2.000, 117.91s)
19: acc=68.94% acc_corr=71.83% avg#q_ae=8.96 med#q=20.0, avg_margin=4.35, buff=19194, (n_ex=9597, eps=2.000, 123.55s)
20: acc=68.22% acc_corr=71.08% avg#q_ae=9.30 med#q=21.0, avg_margin=4.26, buff=19194, (n_ex=9597, eps=2.000, 129.10s)
21: acc=66.78% acc_corr=69.58% avg#q_ae=9.98 med#q=22.0, avg_margin=4.10, buff=19194, (n_ex=9597, eps=2.000, 134.81s)
22: acc=66.02% acc_corr=68.79% avg#q_ae=10.33 med#q=23.0, avg_margin=4.04, buff=19194, (n_ex=9597, eps=2.000, 140.27s)
23: acc=65.42% acc_corr=68.17% avg#q_ae=10.62 med#q=24.0, avg_margin=3.98, buff=19194, (n_ex=9597, eps=2.000, 145.67s)
24: acc=64.68% acc_corr=67.40% avg#q_ae=10.98 med#q=25.0, avg_margin=3.90, buff=19194, (n_ex=9597, eps=2.000, 150.99s)
25: acc=64.16% acc_corr=66.85% avg#q_ae=11.25 med#q=26.0, avg_margin=3.84, buff=19194, (n_ex=9597, eps=2.000, 156.18s)
26: acc=63.73% acc_corr=66.41% avg#q_ae=11.47 med#q=27.0, avg_margin=3.79, buff=19194, (n_ex=9597, eps=2.000, 161.31s)
27: acc=63.08% acc_corr=65.73% avg#q_ae=11.82 med#q=28.0, avg_margin=3.73, buff=19194, (n_ex=9597, eps=2.000, 166.46s)
28: acc=62.39% acc_corr=65.01% avg#q_ae=12.19 med#q=29.0, avg_margin=3.65, buff=19194, (n_ex=9597, eps=2.000, 171.65s)
29: acc=61.89% acc_corr=64.49% avg#q_ae=12.47 med#q=30.0, avg_margin=3.59, buff=19194, (n_ex=9597, eps=2.000, 176.78s)
30: acc=61.38% acc_corr=63.96% avg#q_ae=12.75 med#q=31.0, avg_margin=3.54, buff=19194, (n_ex=9597, eps=2.000, 181.81s)
31: acc=60.66% acc_corr=63.21% avg#q_ae=13.17 med#q=32.0, avg_margin=3.47, buff=19194, (n_ex=9597, eps=2.000, 186.86s)
32: acc=60.26% acc_corr=62.79% avg#q_ae=13.40 med#q=33.0, avg_margin=3.43, buff=19194, (n_ex=9597, eps=2.000, 191.77s)
33: acc=59.25% acc_corr=61.74% avg#q_ae=13.99 med#q=34.0, avg_margin=3.35, buff=19194, (n_ex=9597, eps=2.000, 196.81s)
34: acc=58.87% acc_corr=61.34% avg#q_ae=14.22 med#q=35.0, avg_margin=3.31, buff=19194, (n_ex=9597, eps=2.000, 201.59s)
35: acc=58.37% acc_corr=60.82% avg#q_ae=14.52 med#q=36.0, avg_margin=3.26, buff=19194, (n_ex=9597, eps=2.000, 206.38s)
36: acc=58.00% acc_corr=60.44% avg#q_ae=14.75 med#q=37.0, avg_margin=3.23, buff=19194, (n_ex=9597, eps=2.000, 211.10s)
37: acc=57.56% acc_corr=59.98% avg#q_ae=15.03 med#q=38.0, avg_margin=3.19, buff=19194, (n_ex=9597, eps=2.000, 215.79s)
